00001 | aes128 | Hashcod Variant 00001 - AES-128 Key | Symmetric Keys | 128 | 16 bytes → Base64 | 128 bits | FIPS 197
02083 | hc10000_code_00365 | Hashcod Variant 02083 - HC-ZK-Orion-Vertex-00365-L1-v6.5 | Hashcod Advanced Codes 8282 | H00365 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
02084 | hc10000_code_00366 | Hashcod Variant 02084 - HC-MPC-Nimbus-Chronos-00366-256-bit-v7.8 | Hashcod Advanced Codes 8282 | H00366 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
02085 | hc10000_code_00367 | Hashcod Variant 02085 - HC-FHE-Aether-Delta-00367-L3-v8.1 | Hashcod Advanced Codes 8282 | H00367 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
02086 | hc10000_code_00368 | Hashcod Variant 02086 - HC-THRESH-Argon-Monolith-00368-L5-v9.4 | Hashcod Advanced Codes 8282 | H00368 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
02087 | hc10000_code_00369 | Hashcod Variant 02087 - HC-VDF-Meridian-Zenith-00369-128-bit-v1.7 | Hashcod Advanced Codes 8282 | H00369 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
02088 | hc10000_code_00370 | Hashcod Variant 02088 - HC-VRF-Omega-Lattice-00370-256-bit-v2.0 | Hashcod Advanced Codes 8282 | H00370 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
02089 | hc10000_code_00371 | Hashcod Variant 02089 - HC-AEAD-LW-Vortex-Titan-00371-256-bit-v3.3 | Hashcod Advanced Codes 8282 | H00371 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
02090 | hc10000_code_00372 | Hashcod Variant 02090 - HC-XOF-Krypton-Matrix-00372-L3-v4.6 | Hashcod Advanced Codes 8282 | H00372 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
02091 | hc10000_code_00373 | Hashcod Variant 02091 - HC-KDF-Radial-Prism-00373-L5-v5.9 | Hashcod Advanced Codes 8282 | H00373 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
02092 | hc10000_code_00374 | Hashcod Variant 02092 - HC-MAC-Nexus-Cobalt-00374-192-bit-v6.2 | Hashcod Advanced Codes 8282 | H00374 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
02093 | hc10000_code_00375 | Hashcod Variant 02093 - HC-PAKE-Vega-Solstice-00375-L1-v7.5 | Hashcod Advanced Codes 8282 | H00375 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
02094 | hc10000_code_00376 | Hashcod Variant 02094 - HC-ACCUM-Neon-Parallax-00376-256-bit-v8.8 | Hashcod Advanced Codes 8282 | H00376 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
02095 | hc10000_code_00377 | Hashcod Variant 02095 - HC-IBE-Axiom-Vector-00377-L3-v9.1 | Hashcod Advanced Codes 8282 | H00377 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
02096 | hc10000_code_00378 | Hashcod Variant 02096 - HC-ABE-Nova-Spectra-00378-L5-v1.4 | Hashcod Advanced Codes 8282 | H00378 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
02097 | hc10000_code_00379 | Hashcod Variant 02097 - HC-RING-Zephyr-Aurora-00379-128-bit-v2.7 | Hashcod Advanced Codes 8282 | H00379 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
02098 | hc10000_code_00380 | Hashcod Variant 02098 - HC-BLIND-Pulse-Kairo-00380-256-bit-v3.0 | Hashcod Advanced Codes 8282 | H00380 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
02099 | hc10000_code_00381 | Hashcod Variant 02099 - HC-PQC-KEM-Cipher-Quanta-00381-256-bit-v4.3 | Hashcod Advanced Codes 8282 | H00381 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
02100 | hc10000_code_00382 | Hashcod Variant 02100 - HC-PQC-SIG-Atlas-Sigma-00382-L3-v5.6 | Hashcod Advanced Codes 8282 | H00382 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
02101 | hc10000_code_00383 | Hashcod Variant 02101 - HC-HASH-SIG-Obsidian-Eclipse-00383-L5-v6.9 | Hashcod Advanced Codes 8282 | H00383 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
02102 | hc10000_code_00384 | Hashcod Variant 02102 - HC-HPKE-Helix-Falcon-00384-192-bit-v7.2 | Hashcod Advanced Codes 8282 | H00384 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
02103 | hc10000_code_00385 | Hashcod Variant 02103 - HC-ZK-Orion-Vertex-00385-L1-v8.5 | Hashcod Advanced Codes 8282 | H00385 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
02104 | hc10000_code_00386 | Hashcod Variant 02104 - HC-MPC-Nimbus-Chronos-00386-256-bit-v9.8 | Hashcod Advanced Codes 8282 | H00386 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
02105 | hc10000_code_00387 | Hashcod Variant 02105 - HC-FHE-Aether-Delta-00387-L3-v1.1 | Hashcod Advanced Codes 8282 | H00387 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
02106 | hc10000_code_00388 | Hashcod Variant 02106 - HC-THRESH-Argon-Monolith-00388-L5-v2.4 | Hashcod Advanced Codes 8282 | H00388 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
02107 | hc10000_code_00389 | Hashcod Variant 02107 - HC-VDF-Meridian-Zenith-00389-128-bit-v3.7 | Hashcod Advanced Codes 8282 | H00389 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
02108 | hc10000_code_00390 | Hashcod Variant 02108 - HC-VRF-Omega-Lattice-00390-256-bit-v4.0 | Hashcod Advanced Codes 8282 | H00390 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
02109 | hc10000_code_00391 | Hashcod Variant 02109 - HC-AEAD-LW-Vortex-Titan-00391-256-bit-v5.3 | Hashcod Advanced Codes 8282 | H00391 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
02110 | hc10000_code_00392 | Hashcod Variant 02110 - HC-XOF-Krypton-Matrix-00392-L3-v6.6 | Hashcod Advanced Codes 8282 | H00392 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
02111 | hc10000_code_00393 | Hashcod Variant 02111 - HC-KDF-Radial-Prism-00393-L5-v7.9 | Hashcod Advanced Codes 8282 | H00393 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
02112 | hc10000_code_00394 | Hashcod Variant 02112 - HC-MAC-Nexus-Cobalt-00394-192-bit-v8.2 | Hashcod Advanced Codes 8282 | H00394 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
02113 | hc10000_code_00395 | Hashcod Variant 02113 - HC-PAKE-Vega-Solstice-00395-L1-v9.5 | Hashcod Advanced Codes 8282 | H00395 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
02114 | hc10000_code_00396 | Hashcod Variant 02114 - HC-ACCUM-Neon-Parallax-00396-256-bit-v1.8 | Hashcod Advanced Codes 8282 | H00396 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
02115 | hc10000_code_00397 | Hashcod Variant 02115 - HC-IBE-Axiom-Vector-00397-L3-v2.1 | Hashcod Advanced Codes 8282 | H00397 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
02116 | hc10000_code_00398 | Hashcod Variant 02116 - HC-ABE-Nova-Spectra-00398-L5-v3.4 | Hashcod Advanced Codes 8282 | H00398 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
02117 | hc10000_code_00399 | Hashcod Variant 02117 - HC-RING-Zephyr-Aurora-00399-128-bit-v4.7 | Hashcod Advanced Codes 8282 | H00399 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
02118 | hc10000_code_00400 | Hashcod Variant 02118 - HC-BLIND-Pulse-Kairo-00400-256-bit-v5.0 | Hashcod Advanced Codes 8282 | H00400 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
02119 | hc10000_code_00401 | Hashcod Variant 02119 - HC-PQC-KEM-Cipher-Quanta-00401-256-bit-v6.3 | Hashcod Advanced Codes 8282 | H00401 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
02120 | hc10000_code_00402 | Hashcod Variant 02120 - HC-PQC-SIG-Atlas-Sigma-00402-L3-v7.6 | Hashcod Advanced Codes 8282 | H00402 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
02121 | hc10000_code_00403 | Hashcod Variant 02121 - HC-HASH-SIG-Obsidian-Eclipse-00403-L5-v8.9 | Hashcod Advanced Codes 8282 | H00403 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
02122 | hc10000_code_00404 | Hashcod Variant 02122 - HC-HPKE-Helix-Falcon-00404-192-bit-v9.2 | Hashcod Advanced Codes 8282 | H00404 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
02123 | hc10000_code_00405 | Hashcod Variant 02123 - HC-ZK-Orion-Vertex-00405-L1-v1.5 | Hashcod Advanced Codes 8282 | H00405 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
02124 | hc10000_code_00406 | Hashcod Variant 02124 - HC-MPC-Nimbus-Chronos-00406-256-bit-v2.8 | Hashcod Advanced Codes 8282 | H00406 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
02125 | hc10000_code_00407 | Hashcod Variant 02125 - HC-FHE-Aether-Delta-00407-L3-v3.1 | Hashcod Advanced Codes 8282 | H00407 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
02126 | hc10000_code_00408 | Hashcod Variant 02126 - HC-THRESH-Argon-Monolith-00408-L5-v4.4 | Hashcod Advanced Codes 8282 | H00408 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
02127 | hc10000_code_00409 | Hashcod Variant 02127 - HC-VDF-Meridian-Zenith-00409-128-bit-v5.7 | Hashcod Advanced Codes 8282 | H00409 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
02128 | hc10000_code_00410 | Hashcod Variant 02128 - HC-VRF-Omega-Lattice-00410-256-bit-v6.0 | Hashcod Advanced Codes 8282 | H00410 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
02129 | hc10000_code_00411 | Hashcod Variant 02129 - HC-AEAD-LW-Vortex-Titan-00411-256-bit-v7.3 | Hashcod Advanced Codes 8282 | H00411 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
02130 | hc10000_code_00412 | Hashcod Variant 02130 - HC-XOF-Krypton-Matrix-00412-L3-v8.6 | Hashcod Advanced Codes 8282 | H00412 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
02131 | hc10000_code_00413 | Hashcod Variant 02131 - HC-KDF-Radial-Prism-00413-L5-v9.9 | Hashcod Advanced Codes 8282 | H00413 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
02132 | hc10000_code_00414 | Hashcod Variant 02132 - HC-MAC-Nexus-Cobalt-00414-192-bit-v1.2 | Hashcod Advanced Codes 8282 | H00414 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
02133 | hc10000_code_00415 | Hashcod Variant 02133 - HC-PAKE-Vega-Solstice-00415-L1-v2.5 | Hashcod Advanced Codes 8282 | H00415 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
02134 | hc10000_code_00416 | Hashcod Variant 02134 - HC-ACCUM-Neon-Parallax-00416-256-bit-v3.8 | Hashcod Advanced Codes 8282 | H00416 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
02135 | hc10000_code_00417 | Hashcod Variant 02135 - HC-IBE-Axiom-Vector-00417-L3-v4.1 | Hashcod Advanced Codes 8282 | H00417 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
02136 | hc10000_code_00418 | Hashcod Variant 02136 - HC-ABE-Nova-Spectra-00418-L5-v5.4 | Hashcod Advanced Codes 8282 | H00418 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
02137 | hc10000_code_00419 | Hashcod Variant 02137 - HC-RING-Zephyr-Aurora-00419-128-bit-v6.7 | Hashcod Advanced Codes 8282 | H00419 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
02138 | hc10000_code_00420 | Hashcod Variant 02138 - HC-BLIND-Pulse-Kairo-00420-256-bit-v7.0 | Hashcod Advanced Codes 8282 | H00420 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
02139 | hc10000_code_00421 | Hashcod Variant 02139 - HC-PQC-KEM-Cipher-Quanta-00421-256-bit-v8.3 | Hashcod Advanced Codes 8282 | H00421 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
02140 | hc10000_code_00422 | Hashcod Variant 02140 - HC-PQC-SIG-Atlas-Sigma-00422-L3-v9.6 | Hashcod Advanced Codes 8282 | H00422 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
02141 | hc10000_code_00423 | Hashcod Variant 02141 - HC-HASH-SIG-Obsidian-Eclipse-00423-L5-v1.9 | Hashcod Advanced Codes 8282 | H00423 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
02142 | hc10000_code_00424 | Hashcod Variant 02142 - HC-HPKE-Helix-Falcon-00424-192-bit-v2.2 | Hashcod Advanced Codes 8282 | H00424 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
02143 | hc10000_code_00425 | Hashcod Variant 02143 - HC-ZK-Orion-Vertex-00425-L1-v3.5 | Hashcod Advanced Codes 8282 | H00425 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
02144 | hc10000_code_00426 | Hashcod Variant 02144 - HC-MPC-Nimbus-Chronos-00426-256-bit-v4.8 | Hashcod Advanced Codes 8282 | H00426 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
02145 | hc10000_code_00427 | Hashcod Variant 02145 - HC-FHE-Aether-Delta-00427-L3-v5.1 | Hashcod Advanced Codes 8282 | H00427 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
02146 | hc10000_code_00428 | Hashcod Variant 02146 - HC-THRESH-Argon-Monolith-00428-L5-v6.4 | Hashcod Advanced Codes 8282 | H00428 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
02147 | hc10000_code_00429 | Hashcod Variant 02147 - HC-VDF-Meridian-Zenith-00429-128-bit-v7.7 | Hashcod Advanced Codes 8282 | H00429 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
02148 | hc10000_code_00430 | Hashcod Variant 02148 - HC-VRF-Omega-Lattice-00430-256-bit-v8.0 | Hashcod Advanced Codes 8282 | H00430 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
02149 | hc10000_code_00431 | Hashcod Variant 02149 - HC-AEAD-LW-Vortex-Titan-00431-256-bit-v9.3 | Hashcod Advanced Codes 8282 | H00431 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
02150 | hc10000_code_00432 | Hashcod Variant 02150 - HC-XOF-Krypton-Matrix-00432-L3-v1.6 | Hashcod Advanced Codes 8282 | H00432 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
02151 | hc10000_code_00433 | Hashcod Variant 02151 - HC-KDF-Radial-Prism-00433-L5-v2.9 | Hashcod Advanced Codes 8282 | H00433 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
02152 | hc10000_code_00434 | Hashcod Variant 02152 - HC-MAC-Nexus-Cobalt-00434-192-bit-v3.2 | Hashcod Advanced Codes 8282 | H00434 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
02153 | hc10000_code_00435 | Hashcod Variant 02153 - HC-PAKE-Vega-Solstice-00435-L1-v4.5 | Hashcod Advanced Codes 8282 | H00435 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
02154 | hc10000_code_00436 | Hashcod Variant 02154 - HC-ACCUM-Neon-Parallax-00436-256-bit-v5.8 | Hashcod Advanced Codes 8282 | H00436 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
02155 | hc10000_code_00437 | Hashcod Variant 02155 - HC-IBE-Axiom-Vector-00437-L3-v6.1 | Hashcod Advanced Codes 8282 | H00437 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
02156 | hc10000_code_00438 | Hashcod Variant 02156 - HC-ABE-Nova-Spectra-00438-L5-v7.4 | Hashcod Advanced Codes 8282 | H00438 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
02157 | hc10000_code_00439 | Hashcod Variant 02157 - HC-RING-Zephyr-Aurora-00439-128-bit-v8.7 | Hashcod Advanced Codes 8282 | H00439 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
02158 | hc10000_code_00440 | Hashcod Variant 02158 - HC-BLIND-Pulse-Kairo-00440-256-bit-v9.0 | Hashcod Advanced Codes 8282 | H00440 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
02159 | hc10000_code_00441 | Hashcod Variant 02159 - HC-PQC-KEM-Cipher-Quanta-00441-256-bit-v1.3 | Hashcod Advanced Codes 8282 | H00441 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
02160 | hc10000_code_00442 | Hashcod Variant 02160 - HC-PQC-SIG-Atlas-Sigma-00442-L3-v2.6 | Hashcod Advanced Codes 8282 | H00442 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
02161 | hc10000_code_00443 | Hashcod Variant 02161 - HC-HASH-SIG-Obsidian-Eclipse-00443-L5-v3.9 | Hashcod Advanced Codes 8282 | H00443 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
02162 | hc10000_code_00444 | Hashcod Variant 02162 - HC-HPKE-Helix-Falcon-00444-192-bit-v4.2 | Hashcod Advanced Codes 8282 | H00444 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
02163 | hc10000_code_00445 | Hashcod Variant 02163 - HC-ZK-Orion-Vertex-00445-L1-v5.5 | Hashcod Advanced Codes 8282 | H00445 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
02164 | hc10000_code_00446 | Hashcod Variant 02164 - HC-MPC-Nimbus-Chronos-00446-256-bit-v6.8 | Hashcod Advanced Codes 8282 | H00446 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
02165 | hc10000_code_00447 | Hashcod Variant 02165 - HC-FHE-Aether-Delta-00447-L3-v7.1 | Hashcod Advanced Codes 8282 | H00447 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
02166 | hc10000_code_00448 | Hashcod Variant 02166 - HC-THRESH-Argon-Monolith-00448-L5-v8.4 | Hashcod Advanced Codes 8282 | H00448 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
02167 | hc10000_code_00449 | Hashcod Variant 02167 - HC-VDF-Meridian-Zenith-00449-128-bit-v9.7 | Hashcod Advanced Codes 8282 | H00449 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
02168 | hc10000_code_00450 | Hashcod Variant 02168 - HC-VRF-Omega-Lattice-00450-256-bit-v1.0 | Hashcod Advanced Codes 8282 | H00450 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
02169 | hc10000_code_00451 | Hashcod Variant 02169 - HC-AEAD-LW-Vortex-Titan-00451-256-bit-v2.3 | Hashcod Advanced Codes 8282 | H00451 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
02170 | hc10000_code_00452 | Hashcod Variant 02170 - HC-XOF-Krypton-Matrix-00452-L3-v3.6 | Hashcod Advanced Codes 8282 | H00452 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
02171 | hc10000_code_00453 | Hashcod Variant 02171 - HC-KDF-Radial-Prism-00453-L5-v4.9 | Hashcod Advanced Codes 8282 | H00453 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
02172 | hc10000_code_00454 | Hashcod Variant 02172 - HC-MAC-Nexus-Cobalt-00454-192-bit-v5.2 | Hashcod Advanced Codes 8282 | H00454 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
02173 | hc10000_code_00455 | Hashcod Variant 02173 - HC-PAKE-Vega-Solstice-00455-L1-v6.5 | Hashcod Advanced Codes 8282 | H00455 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
02174 | hc10000_code_00456 | Hashcod Variant 02174 - HC-ACCUM-Neon-Parallax-00456-256-bit-v7.8 | Hashcod Advanced Codes 8282 | H00456 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
02175 | hc10000_code_00457 | Hashcod Variant 02175 - HC-IBE-Axiom-Vector-00457-L3-v8.1 | Hashcod Advanced Codes 8282 | H00457 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
02176 | hc10000_code_00458 | Hashcod Variant 02176 - HC-ABE-Nova-Spectra-00458-L5-v9.4 | Hashcod Advanced Codes 8282 | H00458 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
02177 | hc10000_code_00459 | Hashcod Variant 02177 - HC-RING-Zephyr-Aurora-00459-128-bit-v1.7 | Hashcod Advanced Codes 8282 | H00459 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
02178 | hc10000_code_00460 | Hashcod Variant 02178 - HC-BLIND-Pulse-Kairo-00460-256-bit-v2.0 | Hashcod Advanced Codes 8282 | H00460 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
02179 | hc10000_code_00461 | Hashcod Variant 02179 - HC-PQC-KEM-Cipher-Quanta-00461-256-bit-v3.3 | Hashcod Advanced Codes 8282 | H00461 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
02180 | hc10000_code_00462 | Hashcod Variant 02180 - HC-PQC-SIG-Atlas-Sigma-00462-L3-v4.6 | Hashcod Advanced Codes 8282 | H00462 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
02181 | hc10000_code_00463 | Hashcod Variant 02181 - HC-HASH-SIG-Obsidian-Eclipse-00463-L5-v5.9 | Hashcod Advanced Codes 8282 | H00463 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
02182 | hc10000_code_00464 | Hashcod Variant 02182 - HC-HPKE-Helix-Falcon-00464-192-bit-v6.2 | Hashcod Advanced Codes 8282 | H00464 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
02183 | hc10000_code_00465 | Hashcod Variant 02183 - HC-ZK-Orion-Vertex-00465-L1-v7.5 | Hashcod Advanced Codes 8282 | H00465 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
