index,id,category_id,category,name,badge,engine,entropy,standard,about
"2663","hc10000_code_00945","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02663 - HC-ZK-Orion-Vertex-00945-L1-v1.5","H00945","ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod ZK profile","HC-ZK-Orion-Vertex-00945-L1-v1.5: prueba de conocimiento cero. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2664","hc10000_code_00946","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02664 - HC-MPC-Nimbus-Chronos-00946-256-bit-v2.8","H00946","MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","800 bits","Hashcod MPC profile","HC-MPC-Nimbus-Chronos-00946-256-bit-v2.8: computacion multipartita segura. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2665","hc10000_code_00947","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02665 - HC-FHE-Aether-Delta-00947-L3-v3.1","H00947","FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","832 bits","Hashcod FHE profile","HC-FHE-Aether-Delta-00947-L3-v3.1: cifrado homomorfico. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2666","hc10000_code_00948","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02666 - HC-THRESH-Argon-Monolith-00948-L5-v4.4","H00948","THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","800 bits","Hashcod THRESH profile","HC-THRESH-Argon-Monolith-00948-L5-v4.4: criptografia de umbral. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2667","hc10000_code_00949","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02667 - HC-VDF-Meridian-Zenith-00949-128-bit-v5.7","H00949","VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","640 bits","Hashcod VDF profile","HC-VDF-Meridian-Zenith-00949-128-bit-v5.7: funcion de retardo verificable. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2668","hc10000_code_00950","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02668 - HC-VRF-Omega-Lattice-00950-256-bit-v6.0","H00950","VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod VRF profile","HC-VRF-Omega-Lattice-00950-256-bit-v6.0: funcion aleatoria verificable. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2669","hc10000_code_00951","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02669 - HC-AEAD-LW-Vortex-Titan-00951-256-bit-v7.3","H00951","AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","640 bits","Hashcod AEAD-LW profile","HC-AEAD-LW-Vortex-Titan-00951-256-bit-v7.3: cifrado autenticado ligero. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2670","hc10000_code_00952","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02670 - HC-XOF-Krypton-Matrix-00952-L3-v8.6","H00952","XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","704 bits","Hashcod XOF profile","HC-XOF-Krypton-Matrix-00952-L3-v8.6: funcion de salida extensible. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2671","hc10000_code_00953","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02671 - HC-KDF-Radial-Prism-00953-L5-v9.9","H00953","KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod KDF profile","HC-KDF-Radial-Prism-00953-L5-v9.9: derivacion segura de claves. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2672","hc10000_code_00954","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02672 - HC-MAC-Nexus-Cobalt-00954-192-bit-v1.2","H00954","MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","704 bits","Hashcod MAC profile","HC-MAC-Nexus-Cobalt-00954-192-bit-v1.2: autenticacion de mensajes. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2673","hc10000_code_00955","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02673 - HC-PAKE-Vega-Solstice-00955-L1-v2.5","H00955","PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod PAKE profile","HC-PAKE-Vega-Solstice-00955-L1-v2.5: intercambio seguro con contrasena. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2674","hc10000_code_00956","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02674 - HC-ACCUM-Neon-Parallax-00956-256-bit-v3.8","H00956","ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","704 bits","Hashcod ACCUM profile","HC-ACCUM-Neon-Parallax-00956-256-bit-v3.8: acumulador criptografico. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2675","hc10000_code_00957","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02675 - HC-IBE-Axiom-Vector-00957-L3-v4.1","H00957","IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod IBE profile","HC-IBE-Axiom-Vector-00957-L3-v4.1: cifrado basado en identidad. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2676","hc10000_code_00958","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02676 - HC-ABE-Nova-Spectra-00958-L5-v5.4","H00958","ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","800 bits","Hashcod ABE profile","HC-ABE-Nova-Spectra-00958-L5-v5.4: cifrado basado en atributos. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2677","hc10000_code_00959","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02677 - HC-RING-Zephyr-Aurora-00959-128-bit-v6.7","H00959","RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","704 bits","Hashcod RING profile","HC-RING-Zephyr-Aurora-00959-128-bit-v6.7: firma de anillo. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2678","hc10000_code_00960","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02678 - HC-BLIND-Pulse-Kairo-00960-256-bit-v7.0","H00960","BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","704 bits","Hashcod BLIND profile","HC-BLIND-Pulse-Kairo-00960-256-bit-v7.0: firma ciega. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2679","hc10000_code_00961","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02679 - HC-PQC-KEM-Cipher-Quanta-00961-256-bit-v8.3","H00961","PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","896 bits","Hashcod PQC-KEM profile","HC-PQC-KEM-Cipher-Quanta-00961-256-bit-v8.3: intercambio de claves post-cuantico. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2680","hc10000_code_00962","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02680 - HC-PQC-SIG-Atlas-Sigma-00962-L3-v9.6","H00962","PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","896 bits","Hashcod PQC-SIG profile","HC-PQC-SIG-Atlas-Sigma-00962-L3-v9.6: firma digital post-cuantica. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2681","hc10000_code_00963","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02681 - HC-HASH-SIG-Obsidian-Eclipse-00963-L5-v1.9","H00963","HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","832 bits","Hashcod HASH-SIG profile","HC-HASH-SIG-Obsidian-Eclipse-00963-L5-v1.9: firma basada en hash. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2682","hc10000_code_00964","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02682 - HC-HPKE-Helix-Falcon-00964-192-bit-v2.2","H00964","HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","800 bits","Hashcod HPKE profile","HC-HPKE-Helix-Falcon-00964-192-bit-v2.2: cifrado publico hibrido. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2683","hc10000_code_00965","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02683 - HC-ZK-Orion-Vertex-00965-L1-v3.5","H00965","ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod ZK profile","HC-ZK-Orion-Vertex-00965-L1-v3.5: prueba de conocimiento cero. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2684","hc10000_code_00966","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02684 - HC-MPC-Nimbus-Chronos-00966-256-bit-v4.8","H00966","MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","800 bits","Hashcod MPC profile","HC-MPC-Nimbus-Chronos-00966-256-bit-v4.8: computacion multipartita segura. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2685","hc10000_code_00967","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02685 - HC-FHE-Aether-Delta-00967-L3-v5.1","H00967","FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","832 bits","Hashcod FHE profile","HC-FHE-Aether-Delta-00967-L3-v5.1: cifrado homomorfico. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2686","hc10000_code_00968","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02686 - HC-THRESH-Argon-Monolith-00968-L5-v6.4","H00968","THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","800 bits","Hashcod THRESH profile","HC-THRESH-Argon-Monolith-00968-L5-v6.4: criptografia de umbral. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2687","hc10000_code_00969","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02687 - HC-VDF-Meridian-Zenith-00969-128-bit-v7.7","H00969","VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","640 bits","Hashcod VDF profile","HC-VDF-Meridian-Zenith-00969-128-bit-v7.7: funcion de retardo verificable. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2688","hc10000_code_00970","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02688 - HC-VRF-Omega-Lattice-00970-256-bit-v8.0","H00970","VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod VRF profile","HC-VRF-Omega-Lattice-00970-256-bit-v8.0: funcion aleatoria verificable. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2689","hc10000_code_00971","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02689 - HC-AEAD-LW-Vortex-Titan-00971-256-bit-v9.3","H00971","AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","640 bits","Hashcod AEAD-LW profile","HC-AEAD-LW-Vortex-Titan-00971-256-bit-v9.3: cifrado autenticado ligero. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2690","hc10000_code_00972","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02690 - HC-XOF-Krypton-Matrix-00972-L3-v1.6","H00972","XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","704 bits","Hashcod XOF profile","HC-XOF-Krypton-Matrix-00972-L3-v1.6: funcion de salida extensible. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2691","hc10000_code_00973","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02691 - HC-KDF-Radial-Prism-00973-L5-v2.9","H00973","KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod KDF profile","HC-KDF-Radial-Prism-00973-L5-v2.9: derivacion segura de claves. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2692","hc10000_code_00974","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02692 - HC-MAC-Nexus-Cobalt-00974-192-bit-v3.2","H00974","MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","704 bits","Hashcod MAC profile","HC-MAC-Nexus-Cobalt-00974-192-bit-v3.2: autenticacion de mensajes. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2693","hc10000_code_00975","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02693 - HC-PAKE-Vega-Solstice-00975-L1-v4.5","H00975","PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod PAKE profile","HC-PAKE-Vega-Solstice-00975-L1-v4.5: intercambio seguro con contrasena. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2694","hc10000_code_00976","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02694 - HC-ACCUM-Neon-Parallax-00976-256-bit-v5.8","H00976","ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","704 bits","Hashcod ACCUM profile","HC-ACCUM-Neon-Parallax-00976-256-bit-v5.8: acumulador criptografico. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2695","hc10000_code_00977","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02695 - HC-IBE-Axiom-Vector-00977-L3-v6.1","H00977","IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod IBE profile","HC-IBE-Axiom-Vector-00977-L3-v6.1: cifrado basado en identidad. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2696","hc10000_code_00978","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02696 - HC-ABE-Nova-Spectra-00978-L5-v7.4","H00978","ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","800 bits","Hashcod ABE profile","HC-ABE-Nova-Spectra-00978-L5-v7.4: cifrado basado en atributos. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2697","hc10000_code_00979","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02697 - HC-RING-Zephyr-Aurora-00979-128-bit-v8.7","H00979","RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","704 bits","Hashcod RING profile","HC-RING-Zephyr-Aurora-00979-128-bit-v8.7: firma de anillo. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2698","hc10000_code_00980","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02698 - HC-BLIND-Pulse-Kairo-00980-256-bit-v9.0","H00980","BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","704 bits","Hashcod BLIND profile","HC-BLIND-Pulse-Kairo-00980-256-bit-v9.0: firma ciega. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2699","hc10000_code_00981","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02699 - HC-PQC-KEM-Cipher-Quanta-00981-256-bit-v1.3","H00981","PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","896 bits","Hashcod PQC-KEM profile","HC-PQC-KEM-Cipher-Quanta-00981-256-bit-v1.3: intercambio de claves post-cuantico. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2700","hc10000_code_00982","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02700 - HC-PQC-SIG-Atlas-Sigma-00982-L3-v2.6","H00982","PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","896 bits","Hashcod PQC-SIG profile","HC-PQC-SIG-Atlas-Sigma-00982-L3-v2.6: firma digital post-cuantica. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2701","hc10000_code_00983","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02701 - HC-HASH-SIG-Obsidian-Eclipse-00983-L5-v3.9","H00983","HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","832 bits","Hashcod HASH-SIG profile","HC-HASH-SIG-Obsidian-Eclipse-00983-L5-v3.9: firma basada en hash. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2702","hc10000_code_00984","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02702 - HC-HPKE-Helix-Falcon-00984-192-bit-v4.2","H00984","HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","800 bits","Hashcod HPKE profile","HC-HPKE-Helix-Falcon-00984-192-bit-v4.2: cifrado publico hibrido. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2703","hc10000_code_00985","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02703 - HC-ZK-Orion-Vertex-00985-L1-v5.5","H00985","ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod ZK profile","HC-ZK-Orion-Vertex-00985-L1-v5.5: prueba de conocimiento cero. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2704","hc10000_code_00986","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02704 - HC-MPC-Nimbus-Chronos-00986-256-bit-v6.8","H00986","MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","800 bits","Hashcod MPC profile","HC-MPC-Nimbus-Chronos-00986-256-bit-v6.8: computacion multipartita segura. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2705","hc10000_code_00987","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02705 - HC-FHE-Aether-Delta-00987-L3-v7.1","H00987","FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","832 bits","Hashcod FHE profile","HC-FHE-Aether-Delta-00987-L3-v7.1: cifrado homomorfico. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2706","hc10000_code_00988","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02706 - HC-THRESH-Argon-Monolith-00988-L5-v8.4","H00988","THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","800 bits","Hashcod THRESH profile","HC-THRESH-Argon-Monolith-00988-L5-v8.4: criptografia de umbral. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2707","hc10000_code_00989","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02707 - HC-VDF-Meridian-Zenith-00989-128-bit-v9.7","H00989","VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","640 bits","Hashcod VDF profile","HC-VDF-Meridian-Zenith-00989-128-bit-v9.7: funcion de retardo verificable. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2708","hc10000_code_00990","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02708 - HC-VRF-Omega-Lattice-00990-256-bit-v1.0","H00990","VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod VRF profile","HC-VRF-Omega-Lattice-00990-256-bit-v1.0: funcion aleatoria verificable. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2709","hc10000_code_00991","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02709 - HC-AEAD-LW-Vortex-Titan-00991-256-bit-v2.3","H00991","AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","640 bits","Hashcod AEAD-LW profile","HC-AEAD-LW-Vortex-Titan-00991-256-bit-v2.3: cifrado autenticado ligero. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2710","hc10000_code_00992","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02710 - HC-XOF-Krypton-Matrix-00992-L3-v3.6","H00992","XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","704 bits","Hashcod XOF profile","HC-XOF-Krypton-Matrix-00992-L3-v3.6: funcion de salida extensible. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2711","hc10000_code_00993","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02711 - HC-KDF-Radial-Prism-00993-L5-v4.9","H00993","KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod KDF profile","HC-KDF-Radial-Prism-00993-L5-v4.9: derivacion segura de claves. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2712","hc10000_code_00994","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02712 - HC-MAC-Nexus-Cobalt-00994-192-bit-v5.2","H00994","MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","704 bits","Hashcod MAC profile","HC-MAC-Nexus-Cobalt-00994-192-bit-v5.2: autenticacion de mensajes. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2713","hc10000_code_00995","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02713 - HC-PAKE-Vega-Solstice-00995-L1-v6.5","H00995","PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","768 bits","Hashcod PAKE profile","HC-PAKE-Vega-Solstice-00995-L1-v6.5: intercambio seguro con contrasena. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
"2714","hc10000_code_00996","hashcod_advanced_8282","Hashcod Advanced Codes 8282","Hashcod Variant 02714 - HC-ACCUM-Neon-Parallax-00996-256-bit-v7.8","H00996","ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce","704 bits","Hashcod ACCUM profile","HC-ACCUM-Neon-Parallax-00996-256-bit-v7.8: acumulador criptografico. Generates a sealed Hashcod packet with payload, salt, nonce, route, HMAC binding, SHA-512 digest, SHA-256 binding, timestamp and checksum while preserving the practical purpose of the selected cryptographic family."
